"%name,","%name,"
"Thank you for your order from %store_name.","Thank you for your order from %store_name."
"There are no shipments eligible for AWB creation on this order.","There are no shipments eligible for AWB creation on this order."
"There is no tracking available for this shipment.","There is no tracking available for this shipment."
"There is no tracking available.","There is no tracking available."
"Title","Title"
"Track:","Track:"
"Tracking Number","Tracking Number"
"Tracking Number:","Tracking Number:"
"Tracking Url","Tracking Url"
"Tracking data not available in cache.","Tracking data not available in cache."
"Tracking information is currently not available.","Tracking information is currently not available."
"Tracking information is currently not available. Please ","Tracking information is currently not available. Please "
"Unable to determine destination country for shipment #%1.","Unable to determine destination country for shipment #%1."
"Unable to validate Bookurier AWB selection. Please try again.","Unable to validate Bookurier AWB selection. Please try again."
"Unpack","Unpack"
"Unsupported page value. Use 0 (default layout) or 1 (one AWB per page).","Unsupported page value. Use 0 (default layout) or 1 (one AWB per page)."
"View Tracking","View Tracking"
"Weekend Delivery","Weekend Delivery"
"Weight (kg)","Weight (kg)"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","You can check the status of your order by <a href=""%account_url"">logging into your account</a>."
"You can select up to %1 orders at a time.","You can select up to %1 orders at a time."
"Your shipments for Order #%order_id","Your shipments for Order #%order_id"
"Your shipments for Order #%order_id from %store_name","Your shipments for Order #%order_id from %store_name"
"Your shipping confirmation is below. Thank you again for your business.","Your shipping confirmation is below. Thank you again for your business."
"already has AWB","already has AWB"
"already queued","already queued"
"contact us","contact us"
"destination country not allowed","destination country not allowed"
"email us at ","email us at "
"invalid order","invalid order"
"invalid shipment","invalid shipment"
"multiple","multiple"
"no details available","no details available"
"not Bookurier shipping","not Bookurier shipping"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"single","single"
"Not Bookurier shipping.","Not Bookurier shipping."
"No shipment.","No shipment."
"Not eligible for AWB creation.","Not eligible for AWB creation."
